ID_REF	VALUE
R11 - C16 : 15	62.94
R11 - C16 : 16	35.17
R11 - C16 : 2	91.00
R11 - C16 : 3	175.08
R11 - C16 : 4	45.51
R11 - C16 : 5	40.53
R11 - C16 : 6	33.57
R11 - C16 : 7	204.91
R11 - C16 : 8	68.04
R11 - C16 : 9	9.23
R11 - C17 : 1	46.69
R11 - C17 : 10	3.71
R11 - C17 : 11	36.58
R11 - C17 : 12	25.32
R11 - C17 : 13	83.02
R11 - C17 : 14	111.85
R11 - C17 : 15	62.81
R11 - C17 : 16	18.67
R11 - C17 : 2	63.54
R11 - C17 : 3	0.00
R11 - C17 : 4	81.12
R11 - C17 : 5	67.82
R11 - C17 : 6	1067.22
R11 - C17 : 7	35.40
R11 - C17 : 8	44.63
R11 - C17 : 9	60.78
R11 - C18 : 1	103.28
R11 - C18 : 10	9.66
R11 - C18 : 11	16.78
R11 - C18 : 12	23.60
R11 - C18 : 13	0.00
R11 - C18 : 14	130.01
R11 - C18 : 15	31.00
R11 - C18 : 16	33.75
R11 - C18 : 2	25.53
R11 - C18 : 3	33.02
R11 - C18 : 4	71.37
R11 - C18 : 5	15.22
R11 - C18 : 6	157.28
R11 - C18 : 7	103.49
R11 - C18 : 8	45.15
R11 - C18 : 9	0.00
